chi2,mass,radii,mdot,velocity,ID
20.993779,17.5,75,2.10E-05,1391,422
21.017243,17.6,83,2.10E-05,1069,423
21.02752,17.6,83.2,1.67E-05,938.2077089,424
21.029555,17.5,74.4,1.50E-05,1003,425
21.067334,27,106.9,2.95E-05,1422.830989,426
21.075747,19.2,69.1,1.36E-05,780.3525652,427
21.105869,17.5,73.4,1.60E-05,907,428
21.10882,17.5,74.7,2.10E-05,1299,429
21.146314,17.5,75.3,2.50E-05,1688,430
21.170676,19.3,71.3,1.58E-05,928.9717068,431
21.204773,17.6,81.9,2.30E-05,1364,432
21.213167,19.3,72.4,1.19E-05,495.1654866,433
21.217969,19.2,66.7,1.60E-05,990.93323,434
21.239301,19.4,80.4,1.40E-05,716,435
21.251546,19.4,80.4,2.00E-05,1156,436
21.273271,19.4,80.4,1.30E-05,513,437
21.275093,19.3,73.6,1.16E-05,604.0384835,438
21.33881,17.5,76.4,2.40E-05,1615,439
21.365854,17.6,80.3,2.20E-05,1333,440
21.389585,17.6,78.2,1.50E-05,875,441
21.409109,17.6,78.2,1.37E-05,810.7924868,442
21.437697,17.5,73.4,2.40E-05,1547,443
21.458423,19.4,80.4,1.60E-05,779,444
21.524251,17.6,83,1.50E-05,779,445
21.529137,17.5,74.4,2.00E-05,1283,446
21.546579,19.2,68.8,1.57E-05,940.9269622,447
21.588924,17.6,78.2,2.10E-05,1273,448
21.595644,17.5,75,1.90E-05,1081,449
21.627556,17.6,84.6,1.98E-05,1004.059053,450
21.634093,17.6,81.6,1.50E-05,805,451
21.650339,17.6,78.2,2.33E-05,1435.243489,452
21.677067,17.6,81.6,1.50E-05,864,453
21.695614,17.6,84.9,1.60E-05,776,454
21.700916,17.5,74.7,1.33E-05,758.1915171,455
21.742994,19.4,80.4,1.30E-05,653,456
21.760699,17.5,73.4,2.40E-05,1706,457
21.804825,28.9,101.7,3.34E-05,1691.732639,458
21.856536,19.4,81.1,1.91E-05,909.4122259,459
21.859142,17.6,78.8,1.30E-05,698,460
21.865128,17.5,74.7,1.90E-05,1185,461
21.930907,17.6,78.2,2.00E-05,1143,462
21.956963,17.6,81.9,2.70E-05,1602,463
21.970348,17.5,75.3,1.49E-05,832.1818407,464
22.031853,17.5,73.4,1.60E-05,1101,465
22.083454,17.5,74.7,1.43E-05,887.7675689,466
22.094656,19.2,68.8,1.36E-05,810.6931613,467
22.095484,19.1,63.5,9.84E-06,532.3940839,468
22.13557,17.6,83.2,2.40E-05,1497,469
22.137179,17.5,76.4,1.50E-05,923,470
22.138826,17.6,81.6,1.55E-05,904.2820084,471
22.204971,19.4,77.7,1.10E-05,426,472
22.22639,19.2,67.2,1.42E-05,858.4604928,473
22.22843,17.6,80.8,2.10E-05,1341,474
22.280682,17.5,74.7,1.30E-05,725,475
22.332068,17.6,81.9,2.25E-05,1280.164756,476
22.335826,17.6,78.2,1.30E-05,748,477
22.380709,17.6,78.2,2.20E-05,1298,478
22.403841,19.2,70.2,1.64E-05,985.0600487,479
22.417719,28.4,96.2,3.31E-05,1887.749043,480
22.430772,27.1,108.6,2.86E-05,1411.038071,481
22.477258,19.1,63.9,1.18E-05,641.2345787,482
22.485854,19.2,64.5,9.10E-06,520.3508324,483
22.493968,17.6,80.8,1.50E-05,719,484
22.49417,28.3,95.4,2.73E-05,1573.050098,485
22.498905,17.6,85.8,1.43E-05,700.1867884,486
22.502442,17.5,73.4,2.20E-05,1580,487
22.506775,17.6,78.8,1.50E-05,802,488
22.512406,19.2,68.8,1.31E-05,846.9066447,489
22.515808,17.5,73.4,1.10E-05,550,490
22.555638,19.4,80.4,1.60E-05,793,491
22.56885,19.3,73.6,1.28E-05,674.7962144,492
22.570821,17.5,75.3,1.30E-05,769,493
22.572553,19.4,77.7,1.50E-05,870,494
22.572994,17.5,72.8,1.45E-05,841.0374092,495
22.580796,26.7,103.6,3.11E-05,1620.006355,496
22.642484,28.9,102.3,3.25E-05,1653.478261,497
22.642594,19.1,61.6,1.14E-05,803.4342945,498
22.711958,17.5,74.4,2.00E-05,1147,499
22.719519,19.4,80.4,1.10E-05,436,500
22.751511,17.5,76.4,2.30E-05,1499,501
22.761519,19.3,71.4,1.09E-05,600.2774754,502
22.765501,19.1,62.8,1.10E-05,672.9399238,503
22.792552,19.1,62.8,1.43E-05,983.9313208,504
22.82534,17.5,77,2.45E-05,1669.872206,505
22.828538,17.6,80.3,2.20E-05,1382,506
22.861595,17.6,80.8,2.54E-05,1595.33934,507
22.883917,19.4,77.7,1.60E-05,815,508
22.88955,19.3,71.1,1.40E-05,860.7033537,509
22.914655,17.6,82.2,2.20E-05,1156,510
22.92403,17.6,80.8,1.80E-05,885,511
22.934299,17.5,74.4,1.90E-05,1285,512
22.983543,19.2,68.4,1.19E-05,720.250323,513
22.996681,19.3,73.6,1.55E-05,965.487952,514
23.001019,17.5,74.4,2.20E-05,1309,515
23.017275,17.6,82.7,1.32E-05,619.6048073,516
23.100439,28.9,102.3,2.81E-05,1395.869059,517
23.118736,28.4,96.2,2.85E-05,1629.880441,518
23.147203,17.5,74.7,1.30E-05,771,519
23.218401,19.1,61.1,9.77E-06,522.3554481,520
23.234218,17.6,78.2,1.70E-05,920,521
23.250492,19.2,68.1,1.48E-05,1004.717862,522
23.279939,19.1,61.8,8.73E-06,529.88861,523
23.281879,17.6,82.4,2.60E-05,1620,524
23.289517,17.6,83,1.50E-05,900,525
23.293742,17.5,74.7,2.25E-05,1593.863449,526
23.310563,17.5,72.5,2.00E-05,1264,527
23.342271,17.5,74.4,1.80E-05,1249,528
23.357028,17.5,74.4,1.20E-05,623,529
23.374819,19.2,64.5,1.10E-05,531.9055259,530
23.394755,19.1,62.8,1.02E-05,611.3750807,531
23.398352,17.5,75.3,2.00E-05,1329,532
23.413151,19.3,73.9,1.18E-05,660.846775,533
23.418871,28.4,96.2,2.40E-05,1324.460285,534
23.472918,24.8,107.1,3.35E-05,1637.219587,535
23.478226,17.6,81.9,1.50E-05,666,536
23.48495,19.1,64.2,1.42E-05,925.4870369,537
23.544236,17.5,75.3,1.90E-05,1164,538
23.555953,28.4,96.2,3.07E-05,1740.997828,539
23.636306,17.5,74.4,1.70E-05,1027,540
23.639284,19.4,77.2,1.40E-05,659.6248762,541
23.653281,17.6,82.2,1.90E-05,1189,542
