"id","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","rv","mag","absmag","spect","ci","x","y","z","vx","vy","vz","rarad","decrad","pmrarad","pmdecrad","bayer","flam","con","comp","comp_primary","base","lum","var","var_min","var_max"
39523,39635,,,"","","","8.099733",6.000159,105,0.27,2.03,0,8.98,-11.02,"M0",1.801,"-51957.685259",84800.537596,10453.122306,"-5.786-05","-0.00015609","0.0009787","2.12050515945372","0.104722530115024","1.3089969375-09","9.841717-09","",,"CMi",1,39523,"","2228435.1492703","BW",9.036,8.936
84081,84339,155438,,"","","","17.24259",-54.370147,105,-1.1,-3.41,0,8.44,-11.56,"B6;IVn",0.017,"-11475.734927",-57113.152838,-81279.734749,"-0.00025812","0.00142233","-0.00096299","4.51409956633668","-0.948938083656278","-5.33295048611111-09","-1.6532146-08","",,"Ara",1,84081,"","3664375.74647833","",,
107951,108296,208527,8372,"","","","21.939996",21.239858,403.2258,1.73,14.62,2,6.39,-1.638,"K5V",1.698,"322.491032",-193.007399,146.077852,"-5.51-06","7.24-06","2.738-05","5.74387742538867","0.3707054611979","8.38727667361111-09","7.087976-08","",,"Peg",1,107951,"","393.731353700851","",,
9152,9171,11961,,"","","","1.967716",31.13438,195.6947,-43.04,-45.96,-45.3,6.94,0.482,"M5III",1.252,"145.767079",82.523844,101.183155,"5.22-06","-4.396-05","-6.128-05","0.515146776191679","0.543397442321789","-2.08663808111111-07","-2.22820367-07","",,"Tri",1,9152,"","55.872743899402","AA",6.991,6.811
57858,58031,103355,,"","","","11.90196",12.05668,83.3333,60.48,-103.77,0,7.97,3.366,"K0",0.931,"-81.468245",2.091495,17.406595,"-9.38-06","-2.42-05","-4.1-05","3.115925716634","0.210428762952385","2.93215314-07","-5.03091156-07","",,"Leo",1,57858,"","3.9228346253952","",,
100031,100356,,,"NN 4145","","","20.353036",-51.791062,24.0096,-40.15,93.92,0,10.21,8.308,"M0",1.594,"8.580624",-12.120876,-18.865793,"1.15-06","-9.71-06","6.76-06","5.32841242178894","-0.90392455080118","-1.94652692743056-07","4.55337008-07","",,"Tel",1,100031,"","0.0413809064816725","",,
66814,67026,119482,,"","","","13.736107",-31.816492,171.2329,-57.53,-10.34,0,8.48,2.312,"F0V",0.376,"-130.731455",-63.879478,-90.274055,"-1.69-05","4.489-05","-7.29-06","3.59610442450853","-0.555302543635173","-2.78913310423611-07","-5.0129734-08","",,"Cen",1,66814,"","10.3561897704499","",,
55771,55938,99734,,"","","","11.464189",-58.680482,105,-13.08,3.36,0,7.63,-12.37,"B3V",-0.12,"-51470.433985",7267.769947,-85428.180043,"-0.00049128","0.00647308","0.00084668","3.00131773113074","-1.02416760946478","-6.34136294166667-08","1.6289739-08","",,"Cen",1,55771,"","7726805.85095702","",,
106218,106560,205156,,"","","","21.580875",-49.793077,41.2201,-581.5,-116.15,87,8.12,5.044,"G3V",0.622,"21.449258",-15.748927,-31.481129,"-3.675-05","-0.00011717","-8.294-05","5.64985995207392","-0.869053143222029","-2.81919155243056-06","-5.63111089-07","",,"Ind",1,106218,"","0.836372991584026","",,
37812,37920,62786,,"","","","7.771021",13.728693,289.0173,-9.06,-12.26,0,8.22,0.915,"A2",0.284,"-125.56094",251.118966,68.590929,"9.53-06","9.32-06","-1.669-05","2.03444858766395","0.239610887916126","-4.39241194583333-08","-5.9438157-08","",,"Gem",1,37812,"","37.4973002245483","",,
93407,93702,177399,,"","","","19.080527",-8.651141,111.9821,91.87,13.66,-67.4,7.25,2.004,"K0",1.107,"30.901047",-106.307385,-16.844014,"2.918-05","7.829-05","1.77-05","4.99527016823537","-0.150990901526455","4.45398328326389-07","6.6225548-08","",,"Aql",1,93407,"","13.7530809742145","",,
79219,79459,145558,,"","","","16.215226",-33.847192,96.8054,-14.19,-16.31,0,9.54,4.611,"G5V",0.683,"-36.214731",-71.781312,-53.91866,"-4.03-06","6.81-06","-6.36-06","4.24513621904321","-0.590744943889721","-6.87950612708333-08","-7.9073111-08","",,"Sco",1,79219,"","1.24623516048651","",,
106886,107229,206581,,"","","","21.717659",-2.033011,289.8551,-0.65,-7.29,0,8.48,1.169,"K0",0.937,"239.482783",-162.966996,-10.282696,"-8.1-07","-5.5-07","-1.024-05","5.68566978842622","-0.0354827402505238","-3.15128892361111-09","-3.5342917-08","",,"Aqr",1,106886,"","29.6756335807353","",,
74617,74846,135928,,"","","","15.295134",3.778126,458.7156,0.04,20.77,0,8.48,0.172,"K5",1.649,"-297.707661",-347.673024,30.226125,"2.05-06","2.25-06","4.609-05","4.00425667469685","0.0659407300882588","1.93925472222222-10","1.00695801-07","",,"Ser",1,74617,"","74.3361389655178","",,
89165,89443,238838,,"","","","18.254259",59.826722,65.3595,-130.58,-1.07,0,8.84,4.763,"G5",0.682,"2.18491",-32.778043,56.503897,"-4.126-05","-3.04-06","-1.7-07","4.77895373364009","1.04417328660932","-6.33069704069445-07","-5.187506-09","",,"Dra",1,89165,"","1.08342786215014","",,
23761,23816,33081,,"","","","5.119075",-17.299921,50.6073,6.83,-164.22,0,7.04,3.519,"F7V",0.506,"11.044827",47.038601,-15.049273,"-4.37-06","-1.128-05","-3.847-05","1.34017061473678","-0.301940583408978","3.31127743819444-08","-7.96161026-07","",,"Lep",1,23761,"","3.40721861659357","",,
